headline,date,link,content_text,category,Sentiment
"Rumah Warga Cilacap Hangus Terbakar, Diduga Akibat Korsleting saat Cas HP",2024-12-08 12:05:15,https://www.detik.com/properti/berita/d-7676893/rumah-warga-cilacap-hangus-terbakar-diduga-akibat-korsleting-saat-cas-hp,"Kebakaran melanda rumah di Jalan Kolonel Sugiono, Kelurahan Cilacap, Kecamatan Cilacap Selatan, Kabupaten Cilacap, diduga akibat korsleting listrik. Rumah itu milik Agus Wahyudi 64, seorang buruh harian lepas.Kasi Humas Polresta Cilacap, Ipda Galih Soecahyo mengatakan awalnya kebakaran tersebut diketahui warga setempat bernama Tar Mohamad Soleh 46 pada pukul 07.35 WIB. Ia terkejut melihat asap hitam mengepul dari rumah korban.Saksi pertama memastikan tidak ada orang di dalam rumah dan mencoba memadamkan api. Saksi kedua, Budi Setiawan 34, kemudian menghubungi pemadam kebakaran setelah melihat api semakin membesar, kata Galih dikutip dari detikJateng, Minggu 8122024. Kemudian, dua unit mobil pemadam kebakaran tiba di lokasi sekitar pukul 08.00 WIB. Para petugas pun berhasil memadamkan api 30 menit kemudian.Tidak ada korban jiwa dalam insiden ini. Namun kerugian material ditaksir mencapai Rp 130 juta, ungkapnya.Berdasarkan hasil penyelidikan sementara, kebakaran diduga disebabkan oleh korsleting listrik ketika sedang mengisi daya ponsel atau ponsel di dalam kamar. Kobaran api dengan cepat menjalar dan membakar atap hingga habis serta sebagian besar isi rumah.Ada dugaan kebakaran dipicu karena korsleting listrik saat mengisi daya ponsel di dalam kamar, ujar Galih.Setelah kejadian itu, tim dari Polsek dan Inafis Polresta Cilacap sudah mendatangi lokasi untuk melakukan olah tempat kejadian perkara TKP guna penyelidikan lebih lanjut. Sementara itu, pihak PLN juga dihubungi untuk memastikan keamanan jaringan listrik di area tersebut.Tim kepolisian masih melakukan penyelidikan lebih lanjut terkait penyebab pasti kebakaran. Warga diimbau untuk selalu berhatihati terhadap potensi korsleting listrik, terutama saat menggunakan perangkat elektronik, tuturnya.Artikel ini sudah tayang di detikJateng.Punya pertanyaan soal rumah, tanah atau properti lain detikProperti bisa bantu jawabin. Pertanyaan bisa berkaitan dengan hukum, konstruksi, jual beli, pembiayaan, interior, eksterior atau permasalahan rumah lainnya.Caranya gampang. Kamu tinggal kirim pertanyaan dengan cara klik link ini",Uncategorized,Netral
Sinergi PLN EPI  PIS Sepakat Kembangkan Infrastruktur LNG di Papua Utara,2024-12-06 03:27:27,https://finance.detik.com/energi/d-7673506/sinergi-pln-epi-pis-sepakat-kembangkan-infrastruktur-lng-di-papua-utara,"Semangat sinergi BUMN kembali terjalin untuk pengembangan infrastruktur strategis di sektor energi dan kelistrikan. PT PLN Energi Primer Indonesia PLN EPI sepakat bekerja sama dengan Papua Bersama Konsorsium.Papua Bersama Konsorsium yang digawangi oleh PT Pertamina International Shipping PIS dan PT PGN LNG Indonesia PLI, PT Enviromate Technology International ETI, serta PT Apca Tirta Engineering APCA, untuk rencana pengembangan fasilitas regasifikasi darat Land Based Regasification Plant dan regasifikasi terapung Floating Storage and Regasification UnitFSRU LNG, sebagai bagian program pembangunan infrastruktur midstream LNG untuk pembangkit listrik di area Papua Utara.Kesepakatan ini ditandai dengan penandatanganan Joint Development Agreement JDA oleh seluruh pihak Papua Bersama Konsorsium dan PLN EPI, pada Senin lalu. Dalam Kesepakatan JDA tersebut, Papua Bersama Konsorsium dan PLN EPI sepakat untuk melakukan studi dan rencana pembangunan infrastruktur energi dan kelistrikan berupa fasilitas regasifikasi terapung FSRU berkapasitas hingga 12.500 CBM dan fasilitas regasifikasi darat land based regasification plant berkapasitas hingga 8x500 meter kubik.Turut hadir dalam penandatanganan ini antara lain Direktur Utama PT PLN Energi Primer Indonesia Iwan Agung Firstantara, Direktur Keuangan dan Manajemen Resiko PT PLN Energi Primer Indonesia Efin Febriantoro, Direktur Management Human Capital dan Administrasi PT PLN Energi Primer Indonesia Dedeng Hidayat, Direktur Gas, Petrokimia, dan Bisnis Baru PIS Arief Sukmara, Direktur Perencanaan Bisnis PIS Eka Suhendra. Serta, perwakilan anggota Papua bersama Konsorsium yakni Direktur Utama PGN LNG Indonesia Nofrizal, Direktur Utama ETI Suriyanto, dan Direktur Apca Tirta Engineering Aditya W. Yosafat.Direktur Perencanaan Bisnis PIS, Eka Suhendra memaparkan ini merupakan kolaborasi untuk proyek pembangunan infrastruktur yang tergolong baru bagi perusahaan.Kolaborasi ini memberikan kami kesempatan untuk lebih tumbuh. Kami berterima kasih pada PLN EPI yang telah memberikan kepercayaan, dan kami yakin kerja sama ini akan bisa dilaksanakan untuk penyediaan kelistrikan yang lebih andal di Indonesia Timur, ujar Eka, dalam keterangan tertulis, Jumat 6122024.Proyek ini juga diharapkan bisa memberikan manfaat nyata bagi masyarakat, mendukung ketahanan energi nasional, serta menjadi wujud nyata dari komitmen Pertamina terhadap dokumen Rencana Jangka Panjang Perusahaan RJPP.PIS terus berupaya untuk berkontribusi dalam mewujudkan ketahanan energi yang berkelanjutan, sejalan dengan semangat sinergi BUMN, tambahnya.Eka juga menekankan pentingnya proses diskusi yang telah berlangsung secara intensif antara Papua Bersama Konsorsium dan PLN EPI.Proses ini menjadi langkah penting dalam menyempurnakan setiap detail proyek demi memastikan keberhasilan implementasinya, tuturnya.Melalui kolaborasi ini, PIS bersama mitra Konsorsium berharap dapat menciptakan dampak positif yang signifikan, baik bagi industri energi nasional maupun masyarakat luas.",Legal,Netral
452 Gardu Listrik Terdampak Bencana di SukabumiCianjur,2024-12-06 10:47:16,https://www.detik.com/jabar/berita/d-7674510/452-gardu-listrik-terdampak-bencana-di-sukabumi-cianjur,"Bencana alam yang melanda wilayah Sukabumi dan Cianjur menyebabkan ratusan gardu listrik padam. Imbasnya gangguan suplai listrik ke lebih dari 73.401 pelanggan. PLN bersama tim gabungan terus berupaya memulihkan jaringan listrik di tengah tantangan akses jalan yang terputus dan cuaca ekstrem.General Manager PLN Jabar Agung Murdifi mengatakan, hingga hari ini, Jumat 6122024 terdapat 1.147 gardu terdampak dan yang sudah nyala sebanyak 695 sedangkan 452 gardu lainnya masih padam.Jumlah pelanggan yang terdampak 138.048, yang sudah menyala sampai tadi pagi jam 06.00 WIB ada sebanyak 64.647, pelanggan yang masih padam 73.401, memang tantangan kami banyak yang sulit diakses, kata Agung kepada detikJabar. Lebih lanjut, gardu listrik yang terdampak berada di 73 kecamatan dengan rincian 9 kecamatan 81 desa di Kabupaten Sukabumi. Kemudian 9 kecamatan 52 desa di Kabupaten Cianjur.Itu daerah Jampangkulon beberapa jalan terputus, kami dengan BPBD, PU Jabar samasama pararel membangun lokasi yang terputus. Yang terdampak itu 6773 titik baik tiang longsor atau roboh tersebar di Kabupaten Sukabumi dan Cianjur, jelasnya.Untuk memperbaiki kondisi listrik yang padam, pihaknya menerjunkan 305 personel dengan jumlah regu sebanyak 57, 52 mobil ranger dan mobil crane itu 5 unit.Sudah cukup banyak, daerah sini asalnya padam jadi normal, kami fokus pada supply ke arah JampangkulonUjunggenteng. Seperti diketahui aliran listrik yang 20kv tersebut itu pertama putus, ada 20kv keluar dari pelabuhan terseret arus sungai itu kan kabel sungainya terbawa, hari ini sedang perbaikan. Ada tiga spot lagi yang putus di jalan ke arah Jampangkulon, kata dia.Mudahmudahan cuaca baik, karena kalau ada hujan deras dan potensi longsor pekerja kita stop agar tidak membahayakan rekanrekan pekerja. Jika cuaca baik, mungkin tiga hari sudah selesai, tutupnya.",Uncategorized,Positif
40 Juta Tiang Listrik Bisa Disulap PLN Jadi Charger Mobil,2024-12-03 09:15:39,https://finance.detik.com/energi/d-7669027/40-juta-tiang-listrik-bisa-disulap-pln-jadi-charger-mobil,"PT PLN Persero memiliki 40 juta tiang listrik yang berpotensi disulap menjadi Stasiun Pengisian Kendaraan Listrik Umum SPKLU. Tiangtiang listrik itu bisa disulap menjadi SPKLU untuk memenuhi kebutuhan kendaraan listrik.Direktur Utama PLN Darmawan Prasodjo mengatakan pihaknya terus berupaya membangun strategi untuk mengubah tiang listrik menjadi SPKLU.Kami membangun SPKLU, bahkan kami membangun SPKLU berbasis pada tiang listrik yang jumlahnya 40 juta itu untuk memfasilitasi itu, kata Darmawan dalam Rapat Dengar Pendapat RDP dengan Komisi VI DPR RI, Selasa 3122024. Darmawan menyebut jumlah kendaraan listrik yang melakukan pengisian daya di SPKLU mengalami peningkatan hingga lima kali lipat dari periode mudik Lebaran 2023 ke 2024. Hal itu terjadi lantaran semakin meningkatnya pengguna kendaraan listrik di Indonesia.Dengan meningkatnya jumlah kebutuhan masyarakat akan SPKLU, saat ini PLN sedang merencanakan untuk menambah jumlah SPKLU terutama untuk mempersiapkan momen Lebaran pada tahun depan.Jadi ini kami sedang membangun perencanaan. Kami sudah kerja sama dengan rest area agar jumlah chargingnya itu disesuaikan dengan penambahan mobil listrik, ucapnya.Kami ingin memastikan jangan sampai satu saja pemilik mobil listrik itu di jalan kehabisan listrik, mogok. Itu akan menjadi bahan tertawaan bagi dunia, bahwa PLN tidak mampu menjalankan tugas dengan baik, tambahnya.Saat ini tercatat PLN memiliki 248 SPKLU yang tersebar di 104 lokasi. Meski begitu, diakui pelayanan tersebut hanya ramai saat momentum Lebaran.Setelah itu, saat ini, di rest area SPKLU kami tidak laku, hari ini tidak laku, hanya laku saat Lebaran. Tetapi kan kami tidak mungkin membiarkan nanti pada saat Lebaran mobil listriknya kehabisan di tengah jalan, pungkasnya.",Uncategorized,Netral
Jadwal Pemadaman Listrik Kota Semarang Kamis 5 Desember 2024,2024-12-05 01:21:07,https://www.detik.com/jateng/bisnis/d-7671516/jadwal-pemadaman-listrik-kota-semarang-kamis-5-desember-2024,"Berikut jadwal pemadaman listrik di Kota Semarang hari ini, Kamis, 5 Desember 2024. Pemadaman listrik dilakukan karena adanya pemeliharaan jaringan oleh Perusahaan Listrik Negara PLN.Informasi tersebut disampaikan Perusahaan Listrik Negara PLN lewat akun Instagram pln.semarang, seperti dilihat detikJateng pada Kamis 5122024. Unit Pelaksana Pelayanan Pelanggan UP3 Semarang memberikan informasi pemadaman di sejumlah ULP pada hari ini. Berikut jadwal pemadaman listrik di Kota Semarang.Pemadaman listrik di sebagian Kota Semarang hari ini berlangsung pada pukul 09.30 WIB hingga selesainya waktu pemeliharaan jaringan. Meski begitu, jadwal pemadaman listrik dapat berubah sewaktuwaktu. Pekerjaan Pemeliharaan Jaringan dan rabasrabas pohonLokasi JI. Gajah Mada, Depok, Gendingan, Pemuda, Pandansari Raya, 5, 6, Imam Bonjol, Prembaen, kembang paes, ke lengan kecil, baterman besar, petempen utara, Jl. Tanah Putih, dr Wahidin, Tentara Pelajar, Karanganyar Gunung, Singotoro, Jomblang Perbalan, Mt Haryono, dan sekitarnyaPekerjaan pemeliharaan jaringanLokasi Jl. Durian, Jl. Tusam Raya, Jl. Jati Raya, Jl. Sukun, Jl. Bina Remaja dan sekitarnyaMohon maaf atas ketidaknyamanannya, PLN tetap berkomitmen untuk memberikan pelayanan terbaik kepada masyarakat dengan harapan pelanggan bisa segera menyala, dan kembali menikmati pelayanan listrik dari PLN, tulis PLN.Lebih lanjut, PLN mengimbau masyarakat agar tidak mendirikan tiang atau baliho di dekat jaringan listrik. Masyarakat juga diimbau agar tidak menebang pohon tanpa berkoordinasi dengan PLN, tidak bermain layanglayang dan tidak melempar benda asing yang dekat dengan jaringan listrik.",Uncategorized,Netral
Andre Rosiade Minta PLN Segera Sosialisasi Proyek PLTS di Danau Singkarak,2024-12-03 10:33:32,https://news.detik.com/berita/d-7669216/andre-rosiade-minta-pln-segera-sosialisasi-proyek-plts-di-danau-singkarak,"Wakil Ketua Komisi VI DPR Andre Rosiade mendesak PT PLN Persero agar segera melakukan sosialisasi kepada warga terkait rencana pembangunan pembangkit listrik tenaga surya PLTS di Danau Singkarak, Solok, Provinsi Sumatra Barat Sumbar. Andre berharap investasi ini bisa segera disosialisasikan.Pak Dirut, rencananya di kampung saya Sumbar, PLN akan bekerja sama dengan perusahaan asal Arab Saudi akan berinvestasi membangun PLTS di Danau Singkarak, Kabupaten Solok. Nah, saya, Pak, sudah datang ke sana, sudah bertemu dengan masyarakat, sudah bertemu dengan wali nagari. Mereka sudah menunggu kapan Bapak mau sosialisasi, diskusi, kata Andre Rosiade saat rapat dengar pendapat dengan PT PLN Persero, Selasa 3122024. Andre Rosiade menepis anggapan soal masyarakat Sumbar antiinvestasi. Menurutnya, masyarakat justru menyambut baik investasi masuk ke kampung mereka.Saya sebagai anggota DPR mewakili Sumatera Barat, jangan punya persepsi bahwa kita antiinvestasi. Kita mau membuka diri, kita butuh investasi. Saya akan tunggu, Pak, investasi Bapak, tapi saya butuh komunikasi Bapak sosialisasi langsung dengan masyarakat, ninik mamak, tokoh masyarakat, dan seluruh stakeholder, ujar politikus Partai Gerindra dari Dapil Sumbar 1 itu.Andre siap membantu PLN menyosialisasikan rencana pembangunan PLTS di Danau Singkarak ini kepada masyarakat Kabupaten Solok. Nanti saya dampingi, Pak, sebagai anggota DPR yang mewakili Sumatera Barat. Supaya investasi ini bisa berjalan dengan lancar, tutur Andre, yang juga Wakil Ketua Fraksi Gerindra DPR.Andre menyadari pentingnya investasi ini bagi daerah dan masyarakat. Investasi akan berdampak terhadap ekonomi masyarakat, khususnya di sekitar Danau Singkarak.Harapan dengan investasi itu hadir, tentu ekonomi masyarakat di sekitar Danau Singkarak itu bisa tumbuh. Kita duduk dengan pak bupatinya, Kabupaten Solok, insyaallah bupatinya kader Gerindra. Jadi intinya, kami siap. Jadi, Pak, saya tunggu langkahlangkahnya, saya tunggu kabar dari Bapak, kata Andre.Pada kesempatan itu, Andre juga mengapresiasi keberhasilan PLN yang telah menjalin kerja sama strategis dalam transisi energi di Indonesia dengan lima mitra internasional pada perhelatan Conference of the Parties COP 29 di Baku, Azerbaijan, melalui Utusan Khusus Presiden Republik Indonesia melalui Hashim Djojohadikusumo.Pemerintah melalui PLN sudah punya roadmap yang jelas soal energi baru terbarukan EBT, ujarnya.",Politik,Netral
PLN Rampungkan Gardu Induk 30 MVASUTT 150 KV Lubuk LinggauTebing Tinggi,2024-11-26 10:20:53,https://finance.detik.com/energi/d-7657736/pln-rampungkan-gardu-induk-30-mva-sutt-150-kv-lubuk-linggau-tebing-tinggi,"PT PLN Persero berhasil merampungkan pembangunan Gardu Induk berkapasitas 30 Mega Volt Ampere MVA dan Saluran Udara Tegangan Tinggi SUTT bertegangan 150 kilo Volt kV Lubuk Linggau  Tebing Tinggi yang ditandai dengan pemberian tegangan perdana atau energize pada Senin 1811.Pembangunan berhasil diselesaikan dengan Tingkat Komponen Dalam Negeri TKDN mencapai 76,34, infrastruktur ini akan semakin memperkuat sistem kelistrikan Sumatera Selatan.Bupati Empat Lawang, Fauzan Khoiri AP mengatakan pengoperasian Gardu Induk dan Transmisi ini sangat bermanfaat untuk kehidupan masyarakat wilayahnya. Pasokan listrik yang andal akan memacu geliat ekonomi masyarakat. Kami ucapkan apresiasi yang setinggitingginya kepada PLN atas beroperasinya Infrastruktur ketenagalistrikan ini. Terima kasih kepada seluruh pihak yang telah mendukung dan membantu proses pembangunan SUTT dan Gardu Induk ini sehingga dapat selesai dengan baik. Ini menjadi bukti komitmen Pemerintah bersama PLN dalam mewujudkan pembangunan yang sangat ditunggu masyarakat, ujar Fauzan, dalam keterangan tertulis, Selasa 26112024.Direktur Utama PLN Darmawan Prasodjo mengatakan pihaknya terus mengejar pembangunan infrastruktur kelistrikan demi mendukung ketersediaan listrik yang andal bagi seluruh masyarakat, termasuk melalui pengoperasian Gardu Induk dan SUTT 150 kV yang menghubungkan antara Kota Lubuk Linggau dan Tebing Tinggi.PLN akan terus menggencarkan pembangunan infrastruktur kelistrikan untuk menghadirkan energi listrik yang berkualitas, andal dan ramah lingkungan. Sebagai salah satu kebutuhan dasar masyarakat, kami yakin listrik turut mendorong geliat ekonomi di masyarakat, tutur Darmawan.Senada dengan hal tersebut, Direktur Manajemen Proyek dan Energi Baru Terbarukan PLN, Wiluyo Kusdwiharto menjelaskan bahwa SUTT 150 kV Lubuk Linggau  Tebing Tinggi dibutuhkan dalam memacu perekonomian masyarakat di Kabupaten Empat Lawang. Kehadirannya juga meningkatkan pasokan listrik yang sebelumnya dipasok dari jaringan GI Lahat dan GI Lubuk Linggau.Listrik andal dan berkualitas akan mendukung layanan kesehatan, pendidikan, serta mendorong pertumbuhan sektor pertanian dan perdagangan yang menjadi pilar utama ekonomi daerah ini, ungkap Wiluyo.Sementara itu, General Manager PLN Unit Induk Pembangunan Sumatera Bagian Selatan, Zaky Adikta merinci pembangunan SUTT 150 kV Lubuk Linggau  Tebing Tinggi mencakup 165 tower sepanjang 109,13 kilometer sirkuit kms yang melintasi Kota Lubuk Linggau, Kabupaten Musi Rawas, dan Kabupaten Empat Lawang, didukung Gardu Induk berkapasitas 30 MVA.Meski menghadapi berbagai tantangan dalam proses pembangunannya, PLN berhasil merampungkan infrastruktur ketenagalistrikan tersebut berkat dukungan stakeholder dan seluruh elemen masyarakat.Kami berterima kasih kepada pemerintah, mitra, pemangku kepentingan, dan masyarakat yang telah mendukung pembangunan ini hingga selesai dan beroperasi dalam melayani kebutuhan listrik khususnya di Kabupaten Empat Lawang, pungkas Zaky.",Uncategorized,Positif
40 Juta Tiang Listrik Bisa Jadi Tempat Ngecas Mobil Listrik,2024-12-04 10:07:50,https://oto.detik.com/mobil-listrik/d-7670851/40-juta-tiang-listrik-bisa-jadi-tempat-ngecas-mobil-listrik,"PT PLN Persero akan menyulap tiang listrik untuk menjadi tempat mengisi ulang daya baterai kendaraan listrik. Bahkan, sebanyak 40 juta unit tiang listrik yang ada di Indonesia bisa dijadikan tempat ngecas mobil listrik.Mendukung transisi ke kendaraan listrik, PT PLN menyediakan stasiun pengisian kendaraan listrik umum SPKLU. Menurut Direktur Utama PLN, Darmawan Prasodjo, tak cuma SPKLU, pihaknya juga menyediakan fasilitas pengisian baterai kendaraan listrik di tiang listrik.Kemarin saya menanyakan ke tim berapa jumlah tiang listrik yang kita kelola. Ternyata dihitunghitung ada 40 juta tiang listrik yang kita kelola, sekitar itu, kata Darmawan dalam Rapat Dengar Pendapat RDP dengan Komisi VI DPR RI, Selasa 3112024. Darmawan tak menyangka populasi kendaraan listrik di Indonesia meningkat tajam. Maka dari itu, pihaknya harus menyediakan fasilitas pendukung.Kami juga membangun SPKLU dan juga bahkan kami membangun SPKLU berbasis pada tiang listrik yang jumlahnya 40 juta itu, untuk memfasilitasi itu, ujarnya.Lebih lanjut, menurut Darmawan, penjualan mobil listrik di Indonesia jauh di atas perkiraan. Untuk mendukung kendaraan listrik, PLN bekerja sama dengan pabrikan yang menjual kendaraan listrik.Maka, begitu ada pembelian mobil listrik kami harus memasang home charging. Dan ini kami kerja sama dengan Mercedes, dengan Nissan, dengan Toyota, dengan Mitsubishi, dengan Wuling, dengan BYD dan lainlain, sehingga kalau ada pembelian mobil listrik kami yang jemput bola kami akan meningkatkan kapasitas daya yang terpasang, kami membantu juga memasang home charging. Kami harus membangun SPKLU, kalau dulu naik mobil bensin tidak ada masalah, mau ke Jawa Timur monggo, tapi begitu naik mobil listrik, setiap 300 km harus ngecas, ujarnya.Saat ini PLN sudah memiliki 2.490 unit SPKLU untuk kendaraan listrik roda empat, 9.956 unit SPKLU roda dua, 2.200 unit stasiun penukaran baterai kendaraan listrik umum SPBKLU serta 24.099 pelanggan home charging. PLN juga menargetkan 1.000 unit SPKLU di tiang listrik tahun ini.",Uncategorized,Netral
"Tangki Air PLN S2JB di Palembang Terbakar, PegawaiWarga Panik",2024-11-06 13:00:32,https://www.detik.com/sumbagsel/berita/d-7625407/tangki-air-pln-s2jb-di-palembang-terbakar-pegawai-warga-panik,"Kebakaran terjadi di belakang kantor PLN UID S2JB di Jalan Kapten A Rivai Kota Palembang. Akibatnya, pegawai PLN dan warga sekitar pun panik. Beruntung kejadian tersebut tidak memakan korban jiwa.Peristiwa kebakaran tersebut terjadi Rabu 6112024 sekitar pukul 11.05 WIB. Diduga api berasal dari proses pengelasan tangki air sehingga menyebabkan kebakaran.Manager Komunikasi PLN UID S2JB Iwan Setiadi mengatakan kebakaran terjadi di area pekerjaan upgrading sistem hidran air yang berlokasi di belakang kantor PLN UID S2JB. Insiden tersebut diduga dipicu percikan api dari proses pengelasan pada tangki air yang sedang dikerjakan. Percikan diduga menyambar material tangki berbahan fiber yang mudah terbakar. Beruntung kebakaran ini hanya melibatkan instalasi tangki air yang sedang dalam perbaikan dan tidak merambat ke bangunan lain, ujarnya.Iwan mengatakan kebakaran yang terjadi bukan di bangunan gedung PLN, tetapi di lokasi pengerjaan pembuatan water tank yang berjarak kurang lebih 4 meter dari gedung.Kebakaran terjadi di lokasi pengerjaan water tank yang sedang dilakukan pengelasan. Diduga material tangki yang berbahan fiber terkena percikan api las dan kemudian terbakar, namun kejadian ini cepat dapat dilokalisir dan tidak berdampak ke bangunan gedung yang lain, ungkapnya.Sistem alarm tanggap darurat di gedung PLN UID S2JB berfungsi optimal dengan cepat mendeteksi adanya potensi bahaya. Tim tanggap darurat segera mengarahkan evakuasi pegawai ke area aman yang telah ditentukan. Seluruh pegawai berhasil berkumpul dengan aman dan tidak ada korban jiwa maupun luka dalam kejadian ini.Iwan juga menjelaskan bahwa petugas keamanan kantor telah menghubungi Dinas Pemadam Kebakaran setempat dan melakukan upaya pemadaman awal dengan Alat Pemadam Api Ringan APAR. Pada pukul 11.15 WIB, api berhasil dipadamkan berkat upaya petugas dan bantuan tiga unit mobil pemadam kebakaran yang melakukan pendinginan area yang terdampak.Seluruh petugas bekerja dengan baik dan para pegawai juga mengikuti instruksi serta SOP tanggap bencana secara tertib, sehingga tidak ada korban luka dan kerugian yang berarti. Terima kasih kepada seluruh petugas tanggap darurat yang telah bekerja dengan baik dan juga bantuan dari Dinas Pemadam Kebakaran Kota Palembang, pungkasnya.",Uncategorized,Netral
8 Strategi PLN Tekan Emisi Karbon,2024-09-17 08:12:09,https://finance.detik.com/ekonomi-hijau/d-7544397/8-strategi-pln-tekan-emisi-karbon,"Direktur Manajemen Risiko PLN Suroso Isnandar menyebut, langkah pertama yang dilakukan adalah pembatalan 13.300 megawatt GW PLTU baru yang direncanakan dalam rencana usaha penyediaan tenaga listrik RUPTL sebelumnya yakni untuk periode 20192028. Langkah itu akan memangkas emisi 1,8 miliar ton CO2.Kedua membatalkan power purchase agreements PPA atau perjanjian jual beli listrik untuk 1.400 MW.Sudah power purchase agreement perjanjian jual beli tenaga listrik dengan PLN tapi belum dibangun, langsung kita rem, temanteman setop dulu. Sehingga pembatalan PPA 1.400 MW PLTU itu ada di dalam RUPTL 20212030 dan itu merupakan sinyal kuat bahwa kita memang komit untuk mengurangi emisi, katanya di Sarinah, Jakarta, Selasa 1792024.Ketiga, pihaknya berencana mengganti PLTU 1.100 MW yang sudah beroperasi dengan pembangkit energi baru terbarukan EBT. Keempat, mengganti PLTU 800MW yang sudah operasi dengan pembangkit gas.Kelima, mendorong pemanfaatan biomassa untuk campuran batu bara sebagai bahan bakar PLTU atau cofiring.Itu kita melakukan cofiring pada 46 PLTU dan nanti ini akan menjadi 52 PLTU 2025, terangnya.Keenam, pihaknya mendorong dieselisasi. Pihaknya berencana mengganti pembangkit listrik tenaga diesel PLTD dengan energi baru terbarukan.Kita pertama ada lebih dari 90 lokasi terpencil yang dieselnya dimatikan diganti dengan pembangkit EBT, ujarnya.Ketujuh, PLN mendorong pelaksanaan perdagangan karbon atau carbon trading. Terakhir, PLN akan mengembangkan pembangkit EBT secara besarbesaran.Dan yang terakhir ini gongnya kita mengembangkan secara besarbesaran pembangkit EBT minimal 21 gigawatt dalam RUPTL yang paling hijau, terangnya.acdkil",Lingkungan,Netral
